step_id,count,mean_sec,min_sec,max_sec,std_sec
1,15,14.613066666666667,4.82,40.453,11.355547898127448
2,15,25.34573333333333,6.279,205.79999999999998,50.39251888704267
3,14,15.334214285714285,3.1999999999999957,45.0,11.20871256024713
4,14,25.521642857142858,2.700000000000003,75.6,19.826895728965056
5,14,17.800483369263933,5.1000000000000085,76.84376716969508,18.9306547436815
6,14,16.97460440406529,3.0,65.316,17.921143384664074
7,14,25.07507142857143,3.912000000000006,96.369,27.71225288419515
8,14,17.48,4.200000000000003,55.0,13.196106191425734
9,12,23.121999999999996,4.497,65.90000000000003,16.882576575220444
10,12,27.98716666666667,3.429000000000002,160.85000000000002,44.530177579282395
11,11,13.55990909090909,4.699999999999989,36.85000000000002,8.785047096681335
12,7,18.614285714285717,4.106000000000009,45.89999999999998,15.838246301430019
13,5,16.594799999999992,7.2999999999999545,30.174000000000007,8.873462413286045
14,3,24.46666666666667,3.9000000000000057,50.60000000000002,23.842469111510535
15,2,8.700000000000017,2.8000000000000114,14.600000000000023,8.34386001800127
